0	2082.54	1381.04	1400
1	2082.22	1381.15	1400
2	3732.19	1250	2069.45
3	2241.75	1327.8	1400
4	2829.77	1250	1569.07
5	2173.53	1349.64	1400
6	868.975	1750	869.018
7	2561.01	1250	1420.05
8	2215.43	1336.06	1400
9	1402.54	1747.89	1400
10	2444.64	1270.18	1400
11	1568.33	1628.54	1400
12	2393.93	1283.65	1400
13	3215.47	1250	1782.94
14	2631.61	1250	1459.19
15	2322.52	1303.63	1400
16	3302.78	1250	1831.34
17	2111.27	1370.82	1400
18	1961.62	1427.36	1400
19	2771.11	1250	1536.54
20	3227.99	1250	1789.87
21	1149.94	1750	1150
22	1039.58	1750	1039.63
23	889.988	1750	890.032
24	896.783	1750	896.828
25	1315.83	1750	1315.9
26	1064.52	1750	1064.57
27	883.427	1750	883.471
28	1310.74	1750	1310.81
29	1032.04	1750	1032.09
30	1046.21	1750	1046.26
31	922.333	1750	922.379
32	1212.09	1750	1212.16
33	992.357	1750	992.407
34	1227.68	1750	1227.74
35	1171.6	1750	1171.66
36	750.077	1750	750.115
37	1155.2	1750	1155.26
38	970.854	1750	970.902
39	983.726	1750	983.775
40	973.743	1750	973.792
41	910.771	1750	910.816
42	1163.95	1750	1164.01
43	909.907	1750	909.953
44	777.713	1750	777.751
45	697.287	1750	697.321
46	788.428	1750	788.467
47	2075.23	1383.68	1400
48	2207.2	1338.69	1400
49	2230.99	1331.15	1400
50	1819.51	1489.83	1400
51	2489.95	1258.62	1400
52	2110.43	1371.12	1400
53	2765.19	1250	1533.26
54	3309.02	1250	1834.81
55	2143.74	1359.62	1400
56	2404.09	1280.9	1400
57	2482.18	1260.57	1400
58	2374.34	1289.01	1400
59	3385.9	1250	1877.44
60	2418.88	1276.95	1400
61	2985.14	1250	1655.22
62	2666.06	1250	1478.29
63	2958.8	1250	1640.61
64	2251.64	1324.75	1400
65	3399.08	1250	1884.74
66	2760.51	1250	1530.66
67	2819.59	1250	1563.42
68	2251.35	1324.83	1400
69	1059.83	1750	1059.89
70	974.453	1750	974.501
71	941.999	1750	942.046
72	622.437	1750	622.468
73	1018.22	1750	1018.27
74	1003.4	1750	1003.45
75	1141.68	1750	1141.74
76	916.75	1750	916.795
77	1220.11	1750	1220.17
78	1369	1750	1369.07
79	787.447	1750	787.486
80	926.067	1750	926.113
81	852.163	1750	852.206
82	999.627	1750	999.677
83	1334.63	1750	1334.69
84	903.218	1750	903.263
85	1113.74	1750	1113.8
86	1015.07	1750	1015.12
87	1092.98	1750	1093.03
88	655.834	1750	655.867
89	942.703	1750	942.75
90	1082.07	1750	1082.12
91	1069.12	1750	1069.18
92	788.481	1750	788.52
93	1088.55	1750	1088.61
94	984.833	1750	984.882
95	1239.22	1750	1239.28
96	2331.09	1301.17	1400
97	3572.83	1250	1981.08
98	3264.18	1250	1809.94
99	2506.38	1254.53	1400
100	2066.71	1386.79	1400
101	2350.12	1295.76	1400
102	2067.21	1386.61	1400
103	3308.82	1250	1834.69
104	1985.36	1417.81	1400
105	2002.69	1410.99	1400
106	2788.93	1250	1546.43
107	3781.27	1250	2096.66
108	2849	1250	1579.73
109	2009.65	1408.28	1400
110	2240.6	1328.16	1400
111	4382.89	1250	2430.25
112	2622.62	1250	1454.21
113	2560.38	1250	1419.7
114	2185.86	1345.59	1400
115	2627.65	1250	1456.99
116	2519.86	1251.22	1400
117	989.097	1750	989.146
118	1552.86	1638.58	1400
119	1106.2	1750	1106.26
120	898.997	1750	899.041
121	1051.26	1750	1051.31
122	1487.12	1683.61	1400
123	1191.93	1750	1191.98
124	916.092	1750	916.137
125	1020.97	1750	1021.02
126	1038	1750	1038.05
127	805.446	1750	805.486
128	1066.63	1750	1066.68
129	665.665	1750	665.698
130	1025.67	1750	1025.72
131	865.093	1750	865.136
132	768.884	1750	768.923
133	852.807	1750	852.85
134	1061.56	1750	1061.61
135	2352.3	1295.15	1400
136	1148.36	1750	1148.42
137	1057.57	1750	1057.62
138	914.796	1750	914.841
139	868.954	1750	868.997
140	1037.22	1750	1037.27
141	1319.87	1750	1319.94
142	1355.22	1750	1355.29
143	1030.09	1750	1030.15
144	2646.41	1250	1467.4
145	2286.71	1314.13	1400
